Position,Const,Created,Modified,Description,Name,Known For,Birth Date
97,nm1443502,2023-05-03,2024-10-26,"13461 points","Jordan Peele","Nope","February 21, 1979"
98,nm0001469,2018-06-18,2024-01-23,"13143 points","Barry Levinson","Rain Man","April 6, 1942"
99,nm0327273,2018-07-02,2018-07-07,"13142 points","Michel Gondry","Eternal Sunshine of the Spotless Mind","May 8, 1963"
100,nm0570912,2018-07-13,2023-11-21,"12963 points","Adam McKay","Don't Look Up","April 17, 1968"
101,nm0005366,2018-06-29,2021-12-25,"12849 points","Jay Roach","Trumbo","June 14, 1957"
102,nm0001565,2018-06-27,2023-05-29,"12546 points","Mike Newell","Four Weddings and a Funeral","March 28, 1942"
103,nm0001024,2018-07-01,2024-06-16,"12540 points","Nick Cassavetes","Face/Off","May 21, 1959"
104,nm0000122,2018-05-17,2021-04-12,"12476 points","Charles Chaplin","The Great Dictator","April 16, 1889"
105,nm0000186,2018-06-11,2018-06-30,"12441 points","David Lynch","Twin Peaks","January 20, 1946"
106,nm0640334,2018-07-07,2024-01-14,"12279 points","Gavin O'Connor","The Accountant","December 24, 1963"
107,nm0001708,2018-06-24,2023-05-06,"12259 points","Joel Schumacher","The Phantom of the Opera","August 29, 1939"
108,nm0000881,2018-06-27,2018-07-03,"11714 points","Michael Bay","Armageddon","February 17, 1965"
109,nm0004306,2018-06-12,2022-02-08,"11691 points","George Miller","Mad Max: Fury Road","March 3, 1945"
110,nm0661791,2018-07-02,2024-04-25,"11659 points","Park Chan-wook","Ah-ga-ssi","August 23, 1963"
111,nm0002120,2018-06-24,2023-05-23,"11528 points","Lasse Hallström","What's Eating Gilbert Grape","June 2, 1946"
112,nm0504642,2018-07-01,2024-06-07,"11502 points","Louis Leterrier","The Incredible Hulk","June 17, 1973"
113,nm0000041,2018-05-26,2020-08-11,"11471 points","Akira Kurosawa","Kakushi-toride no san-akunin","March 23, 1910"
114,nm0001149,2018-06-10,2024-06-19,"11466 points","Richard Donner","Superman","April 24, 1930"
115,nm0043742,2021-05-23,2024-04-22,"11457 points","David Ayer","End of Watch","January 18, 1968"
116,nm0551128,2018-07-01,2021-10-13,"11451 points","Rob Marshall","Mary Poppins Returns","October 17, 1960"
117,nm4170048,2023-07-16,2025-01-20,"11354 points","Ari Aster","Hereditary","July 15, 1986"
118,nm0610831,2018-07-04,2022-09-19,"10803 points","Gabriele Muccino","Seven Pounds","May 20, 1967"
119,nm0132709,2018-06-26,2024-06-30,"10575 points","Martin Campbell","Casino Royale","October 24, 1943"
120,nm0000343,2018-06-16,2022-05-08,"10542 points","David Cronenberg","The Fly","March 15, 1943"
121,nm0668247,2018-07-01,2024-03-23,"10315 points","Alexander Payne","Nebraska","February 10, 1961"
122,nm0619923,2018-07-09,2018-07-09,"10299 points","Olivier Nakache","Intouchables","April 15, 1973"
123,nm0865918,2018-07-09,2018-07-09,"10299 points","Éric Toledano","Intouchables","July 3, 1971"
124,nm0281808,2018-05-21,2018-05-21,"10200 points","Victor Fleming","Gone with the Wind","February 23, 1889"
125,nm0878756,2018-06-28,2018-07-10,"10146 points","Tom Tykwer","Lola rennt","May 23, 1965"
126,nm0353673,2018-07-02,2018-07-08,"10066 points","Paul Haggis","Crash","March 10, 1953"
127,nm0000576,2018-07-05,2023-03-21,"10013 points","Sean Penn","Mystic River","August 17, 1960"
128,nm0000601,2018-06-24,2018-07-01,"9909 points","Harold Ramis","Ghostbusters","November 21, 1944"
129,nm1512910,2018-07-07,2018-07-09,"9834 points","Duncan Jones","Moon","May 30, 1971"
130,nm0000436,2018-06-27,2024-05-06,"9624 points","Curtis Hanson","L.A. Confidential","March 24, 1945"
131,nm0001566,2018-06-01,2020-01-24,"9510 points","Mike Nichols","The Graduate","November 6, 1931"
132,nm0885249,2018-07-07,2024-01-26,"9475 points","Jean-Marc Vallée","C.R.A.Z.Y.","March 9, 1963"
133,nm0446819,2018-06-30,2018-06-30,"9401 points","Richard Kelly","Donnie Darko","March 28, 1975"
134,nm0001068,2018-06-29,2025-01-19,"9389 points","Sofia Coppola","The Godfather Part III","May 14, 1971"
135,nm0942504,2018-07-03,2023-04-27,"9369 points","Joe Wright","Pride & Prejudice","August 25, 1972"
136,nm3211470,2021-01-19,2025-01-27,"9327 points","Robert Eggers","The Lighthouse","July 7, 1983"
137,nm0487166,2018-07-07,2024-03-11,"9193 points","Yorgos Lanthimos","The Lobster","September 23, 1973"
138,nm0154716,2021-04-08,2023-07-19,"9160 points","Stephen Chbosky","The Perks of Being a Wallflower","January 25, 1970"
139,nm0899121,2018-06-28,2023-07-19,"9136 points","Thomas Vinterberg","Jagten","May 19, 1969"
140,nm0000466,2018-06-26,2020-10-14,"9051 points","Jean-Pierre Jeunet","Un long dimanche de fiançailles","September 3, 1953"
141,nm0197636,2018-07-01,2022-06-10,"9002 points","Stephen Daldry","The Reader","May 2, 1960"
142,nm0716347,2018-07-09,2018-07-11,"8977 points","Nicolas Winding Refn","The Neon Demon","September 29, 1970"
143,nm0583600,2018-06-28,2018-07-13,"8913 points","Nancy Meyers","It's Complicated","December 8, 1949"
144,nm0307497,2018-07-13,2025-01-08,"8902 points","Alex Garland","Ex Machina","May 26, 1970"
145,nm0001639,2021-06-03,2023-06-14,"8894 points","Alex Proyas","Dark City","September 23, 1963"
146,nm0275629,2018-07-09,2018-07-13,"8750 points","Glenn Ficarra","I Love You Phillip Morris",
147,nm0720135,2018-07-09,2018-07-13,"8750 points","John Requa","I Love You Phillip Morris",
148,nm0024622,2018-06-27,2023-05-05,"8630 points","Alejandro Amenábar","Tesis","March 31, 1972"
149,nm0000976,2018-06-20,2025-01-29,"8607 points","Martin Brest","Scent of a Woman","August 8, 1951"
150,nm0359387,2018-07-07,2024-02-14,"8548 points","John Lee Hancock","The Blind Side","December 15, 1956"
151,nm0001885,2018-06-27,2023-03-03,"8542 points","Lars von Trier","Dancer in the Dark","April 30, 1956"
152,nm1429471,2018-07-07,2018-07-12,"8427 points","Jaume Collet-Serra","The Shallows","March 23, 1974"
153,nm1989536,2023-05-05,2023-05-05,"8304 points","Marc Webb","(500) Days of Summer","August 31, 1974"
154,nm0000814,2018-06-10,2018-06-16,"8223 points","John G. Avildsen","Rocky","December 21, 1935"
155,nm0267512,2018-07-04,2024-04-21,"8212 points","Valerie Faris","Little Miss Sunshine","October 20, 1958"
156,nm0206760,2018-07-04,2024-04-21,"8212 points","Jonathan Dayton","Little Miss Sunshine","July 7, 1957"
157,nm0291082,2021-09-20,2021-12-25,"8143 points","Scott Frank","Logan","March 10, 1960"
158,nm1698571,2018-07-11,2018-07-12,"8118 points","Evan Goldberg","This Is the End","May 11, 1982"
159,nm0000916,2018-07-11,2021-11-23,"7909 points","Peter Berg","Chicago Hope","March 11, 1964"
160,nm2284484,2023-09-26,2023-09-26,"7882 points","Gareth Edwards","Monsters","June 1, 1975"
161,nm0000682,2018-06-18,2023-03-20,"7874 points","Paul Verhoeven","RoboCop","July 18, 1938"
162,nm0366004,2021-04-29,2021-04-29,"7856 points","Mary Harron","American Psycho","January 12, 1953"
163,nm0853238,2018-07-09,2018-07-14,"7823 points","Tate Taylor","Get on Up","June 3, 1969"
164,nm0000517,2018-06-07,2018-07-09,"7751 points","Terrence Malick","Days of Heaven","November 30, 1943"
165,nm0587955,2018-07-03,2018-07-12,"7694 points","Bennett Miller","Foxcatcher","December 30, 1966"
166,nm0000431,2018-06-26,2021-04-30,"7650 points","Taylor Hackford","Ray","December 31, 1944"
167,nm0629272,2018-06-27,2018-07-03,"7580 points","Andrew Niccol","Gattaca","June 10, 1964"
168,nm0313623,2018-07-02,2018-07-14,"7568 points","Terry George","Hotel Rwanda","December 20, 1952"
169,nm0001008,2018-05-19,2018-10-15,"7563 points","Frank Capra","It's a Wonderful Life","May 18, 1897"
170,nm0002031,2018-05-20,2018-05-22,"7520 points","Michael Curtiz","Casablanca","December 24, 1886"
171,nm0811583,2024-07-03,2024-07-03,"7474 points","Zack Snyder","300","March 1, 1966"
172,nm0565336,2018-07-02,2018-07-13,"7462 points","Tom McCarthy","Win Win","June 7, 1966"
173,nm0000180,2018-05-22,2018-06-01,"7389 points","David Lean","Lawrence of Arabia","March 25, 1908"
174,nm0000080,2018-05-22,2018-05-29,"7363 points","Orson Welles","Citizen Kane","May 6, 1915"
175,nm0000464,2018-06-17,2018-07-14,"7345 points","Jim Jarmusch","Only Lovers Left Alive","January 22, 1953"
176,nm1206844,2023-11-01,2024-10-13,"7223 points","Drew Goddard","The Martian","February 26, 1975"
177,nm0001081,2018-06-29,2018-06-30,"7190 points","Cameron Crowe","Almost Famous","July 13, 1957"
178,nm0001243,2018-06-05,2023-09-22,"7151 points","William Friedkin","To Live and Die in L.A.","August 29, 1935"
179,nm0002044,2018-06-30,2021-03-04,"7067 points","Roger Donaldson","The World's Fastest Indian","November 15, 1945"
180,nm0637518,2018-06-29,2023-06-21,"7048 points","Phillip Noyce","Rabbit-Proof Fence","April 29, 1950"
181,nm0868153,2018-06-20,2018-07-11,"6892 points","Giuseppe Tornatore","La migliore offerta","May 27, 1956"
182,nm0319659,2018-07-12,2022-12-14,"6836 points","Dan Gilroy","Nightcrawler","June 24, 1959"
183,nm0001241,2018-06-20,2023-10-11,"6773 points","Stephen Frears","Dangerous Liaisons","June 20, 1941"
184,nm0169806,2023-10-02,2023-10-02,"6716 points","Taika Waititi","What We Do in the Shadows","August 16, 1975"
185,nm0001774,2018-07-06,2023-04-15,"6665 points","Ben Stiller","Tropic Thunder","November 30, 1965"
186,nm0000264,2018-06-29,2020-02-09,"6655 points","Pedro Almodóvar","Hable con ella","September 25, 1949"
187,nm0161834,2018-07-08,2018-07-14,"6582 points","Derek Cianfrance","Blue Valentine","January 23, 1974"
188,nm1490123,2018-07-05,2018-07-11,"6578 points","James Wan","Saw","February 26, 1977"
189,nm0000455,2018-06-18,2019-05-14,"6559 points","John Hughes","Planes, Trains & Automobiles","February 18, 1950"
190,nm1164861,2024-06-23,2024-06-23,"6549 points","Seth Gordon","Back in Action","July 15, 1974"
191,nm0000230,2018-06-12,2023-07-26,"6542 points","Sylvester Stallone","Rocky","July 6, 1946"
192,nm0000005,2018-05-29,2020-04-23,"6487 points","Ingmar Bergman","Smultronstället","July 14, 1918"
193,nm0001756,2018-06-27,2018-06-27,"6465 points","Barry Sonnenfeld","Men in Black","April 1, 1953"
194,nm0026442,2018-07-02,2024-10-19,"6335 points","Brad Anderson","Session 9","1964"
195,nm0005509,2018-06-24,2023-07-15,"6315 points","Jon Turteltaub","Cool Runnings","August 8, 1963"
196,nm0031976,2023-04-03,2023-04-03,"6301 points","Judd Apatow","Girls","December 6, 1967"
197,nm0268380,2021-07-19,2021-07-19,"6281points","Peter Farrelly","Green Book","December 17, 1956"
198,nm0387706,2018-07-05,2022-06-18,"6272 points","Gregory Hoblit","Hill Street Blues","November 27, 1944"
199,nm1837748,2024-02-02,2024-02-02,"6244 points","Josh Boone","The Fault in Our Stars","April 5, 1979"
200,nm0000484,2018-06-13,2018-06-20,"6240 points","John Landis","The Blues Brothers","August 3, 1950"
201,nm0718645,2018-06-16,2018-07-09,"6171 points","Ivan Reitman","Up in the Air","October 27, 1946"
202,nm0006904,2018-07-05,2018-07-10,"6154 points","Tony Gilroy","Michael Clayton","September 11, 1956"
203,nm0005237,2018-06-27,2018-07-02,"6135 points","Anthony Minghella","The Talented Mr. Ripley","January 6, 1954"
204,nm0001351,2018-06-03,2018-06-07,"6008 points","George Roy Hill","The Sting","December 20, 1921"
205,nm0006960,2018-06-28,2024-02-05,"5999 points","John Madden","Shakespeare in Love","April 8, 1949"
206,nm0001403,2018-06-24,2024-07-19,"5979 points","Neil Jordan","The Crying Game","February 25, 1950"
207,nm0323239,2024-12-07,2024-12-07,"5969 points","Will Gluck","Anyone But You","November 7, 1978"
208,nm1950086,2020-03-09,2023-09-09,"5944 points","Greta Gerwig","Barbie","August 4, 1983"
209,nm0107774,2018-07-02,2018-07-02,"5910 points","Eric Bress","The Butterfly Effect","December 29, 1968"
210,nm0000570,2018-06-12,2018-07-02,"5883 points","Alan Parker","Evita","February 14, 1944"
211,nm0177896,2022-02-11,2024-03-10,"5794 points","Bradley Cooper","A Star Is Born","January 5, 1975"
212,nm0384825,2018-07-07,2018-07-10,"5789 points","John Hillcoat","The Proposition","August 14, 1961"
213,nm0500610,2024-03-08,2025-01-08,"5779 points","David Leitch","Bullet Train","November 16, 1975"
214,nm0003620,2018-06-26,2018-07-06,"5774 points","Kevin Smith","Clerks","August 2, 1970"
215,nm0083348,2018-07-09,2018-07-09,"5771 points","Brad Bird","The Incredibles","September 24, 1957"
216,nm1049433,2018-07-13,2022-06-08,"5740 points","Lenny Abrahamson","Room","November 30, 1966"
217,nm0001379,2018-05-22,2018-06-10,"5715 points","John Huston","The Treasure of the Sierra Madre","August 5, 1906"
218,nm1016428,2018-07-07,2018-07-12,"5661 points","James Marsh","The Theory of Everything","April 30, 1963"
219,nm0003697,2018-07-04,2018-07-04,"5601 points","Florian Henckel von Donnersmarck","Das Leben der Anderen","May 2, 1973"
220,nm0955443,2018-07-01,2023-09-25,"5599 points","Yimou Zhang","Ying xiong","November 14, 1951"
221,nm0000957,2018-06-25,2018-06-27,"5581 points","Jan de Bont","Speed","October 22, 1943"
222,nm0006487,2018-06-22,2019-03-09,"5627 points","Jim Sheridan","In America","February 6, 1949"
223,nm0000247,2023-08-18,2023-08-18,"5585 points","John Woo","Ying hung boon sik","September 22, 1946"
224,nm2193504,2023-04-29,2024-03-11,"5508 points","Emerald Fennell","Saltburn","October 1, 1985"
225,nm0359734,2018-06-28,2018-07-11,"5440 points","Michael Haneke","Caché","March 23, 1942"
226,nm0000269,2018-06-17,2018-06-30,"5429 points","Jean-Jacques Annaud","The Name of the Rose","October 1, 1943"
227,nm1174251,2018-07-10,2023-03-01,"5406 points","Daniel Espinosa","Morbius","March 23, 1977"
228,nm0386570,2018-06-30,2018-07-02,"5358 points","Oliver Hirschbiegel","Das Experiment","December 29, 1957"
229,nm0777881,2018-07-08,2022-11-20,"5327 points","Robert Schwentke","Der Hauptmann","1968"
230,nm0943758,2018-05-23,2018-05-30,"5309 points","William Wyler","The Best Years of Our Lives","July 1, 1902"
231,nm0617042,2025-01-11,2025-01-11,"5272 points","Mark Mylod","Succession","1965"
232,nm0531817,2018-07-04,2023-05-08,"5256 points","Kevin Macdonald","The Last King of Scotland","October 28, 1967"
233,nm1410815,2018-07-08,2018-07-14,"5242 points","Asghar Farhadi","Forooshande","May 7, 1972"
234,nm0001331,2018-07-01,2024-09-02,"5242 points","Todd Haynes","Far from Heaven","January 2, 1961"
235,nm0000123,2018-07-01,2018-07-09,"5236 points","George Clooney","Michael Clayton","May 6, 1961"
236,nm3453283,2023-03-05,2023-03-05,"5185 points","Daniel Kwan","Everything Everywhere All at Once","February 10, 1988"
237,nm3215397,2023-03-05,2023-03-05,"5185 points","Daniel Scheinert","Everything Everywhere All at Once","June 7, 1987"
238,nm0400441,2018-07-08,2021-05-25,"5179 points","Allen Hughes","The Book of Eli","April 1, 1972"
239,nm0336695,2018-07-05,2023-03-15,"5162 points","James Gray","The Immigrant","April 14, 1969"
240,nm0001188,2018-06-24,2018-07-07,"5149 points","Nora Ephron","Julie & Julia","May 19, 1941"
241,nm0001628,2018-06-10,2018-07-03,"5141 points","Sydney Pollack","Tootsie","July 1, 1934"
242,nm1291105,2018-07-05,2018-07-10,"5108 points","J.A. Bayona","La sociedad de la nieve","May 9, 1975"
243,nm0936482,2024-05-06,2024-05-06,"5092 points","Len Wiseman","Underworld","March 4, 1973"
244,nm1509478,2021-09-07,2021-09-08,"5075 points","Benny Safdie","Good Time","February 24, 1986"
245,nm1343394,2021-09-07,2021-09-08,"5075 points","Josh Safdie","Uncut Gems","April 3, 1984"
246,nm0001675,2018-06-26,2023-07-08,"5027 points","Robert Rodriguez","El mariachi","June 20, 1968"
247,nm0000485,2018-05-17,2021-04-13,"5023 points","Fritz Lang","Le mépris","December 5, 1890"
248,nm0081540,2018-07-04,2021-12-17,"5010 points","Susanne Bier","Hævnen","April 15, 1960"
249,nm2158772,2018-07-10,2025-01-10,"4986 points","Jeff Nichols","Take Shelter","December 7, 1978"
250,nm0001047,2018-06-12,2018-06-12,"4884 points","Michael Cimino","The Deer Hunter","February 3, 1939"
251,nm0958387,2018-06-23,2020-08-19,"4857 points","Jerry Zucker","Airplane!","March 11, 1950"
252,nm0533284,2019-09-22,2023-05-02,"4852 points","David Mackenzie","Starred Up","May 10, 1966"
253,nm0001317,2021-07-07,2021-07-07,"4838 points","Renny Harlin","Driven","March 15, 1959"
254,nm0001490,2018-06-18,2024-05-12,"4797 points","Adrian Lyne","Jacob's Ladder","March 4, 1941"
255,nm0178376,2018-07-07,2023-03-05,"4782 points","Scott Cooper","Crazy Heart","April 20, 1970"
256,nm0000876,2018-07-03,2021-05-16,"4729 points","Noah Baumbach","White Noise","September 3, 1969"
257,nm0000019,2018-05-27,2018-06-07,"4727 points","Federico Fellini","8½","January 20, 1920"
258,nm0612322,2018-05-31,2018-05-31,"4668 points","Robert Mulligan","Summer of '42","August 23, 1925"
259,nm0318916,2018-07-05,2021-05-07,"4666 points","Craig Gillespie","I, Tonya","September 1, 1967"
260,nm1053530,2018-07-07,2018-07-14,"4665 points","Tom Ford","A Single Man","August 27, 1961"
261,nm0000110,2018-06-24,2023-11-22,"4640 points","Kenneth Branagh","Henry V","December 10, 1960"
262,nm0000985,2018-06-16,2018-06-27,"4611 points","James L. Brooks","Broadcast News","May 9, 1940"
